timestamp,resort_id,resort_code,party_size,start_date,end_date,price,signal
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-01-23,2027-01-30,,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-01-30,2027-02-06,,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-03-13,2027-03-20,,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-03-20,2027-03-27,,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-03-27,2027-04-03,8808,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-04-03,2027-04-10,8472,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-04-10,2027-04-17,7228,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-04-17,2027-04-24,6446,hold
2026-04-23T21:09:23Z,les-arcs,ARPC_WINTER,2A2C,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-01-09,2027-01-16,5394,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-01-16,2027-01-23,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-01-23,2027-01-30,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-01-30,2027-02-06,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-03-13,2027-03-20,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-03-20,2027-03-27,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-03-27,2027-04-03,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-04-03,2027-04-10,4088,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-04-10,2027-04-17,3616,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-01-09,2027-01-16,7555,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-01-16,2027-01-23,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-01-23,2027-01-30,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-01-30,2027-02-06,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-03-13,2027-03-20,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-03-20,2027-03-27,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-03-27,2027-04-03,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-04-03,2027-04-10,5726,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-04-10,2027-04-17,5066,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A1C,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-01-09,2027-01-16,9716,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-01-16,2027-01-23,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-01-23,2027-01-30,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-01-30,2027-02-06,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-03-13,2027-03-20,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-03-20,2027-03-27,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-03-27,2027-04-03,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-04-03,2027-04-10,7364,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-04-10,2027-04-17,6856,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,peisey-vallandry,PVAC_WINTER,2A2C,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-01-09,2027-01-16,3636,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-01-16,2027-01-23,3848,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-01-23,2027-01-30,3996,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-01-30,2027-02-06,3996,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-02-06,2027-02-13,9572,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-02-13,2027-02-20,11786,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-02-20,2027-02-27,11506,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-02-27,2027-03-06,9536,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-03-06,2027-03-13,7748,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-03-13,2027-03-20,3656,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-03-20,2027-03-27,3440,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-03-27,2027-04-03,3258,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-04-03,2027-04-10,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-04-10,2027-04-17,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-01-09,2027-01-16,5093,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-01-16,2027-01-23,5093,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-01-23,2027-01-30,5093,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-01-30,2027-02-06,5597,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-02-06,2027-02-13,11804,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-02-13,2027-02-20,14857,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-02-20,2027-02-27,14504,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-02-27,2027-03-06,11761,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-03-06,2027-03-13,9620,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-03-13,2027-03-20,4838,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-03-20,2027-03-27,4819,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-03-27,2027-04-03,4564,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-04-03,2027-04-10,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-04-10,2027-04-17,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A1C,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-01-09,2027-01-16,7554,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-01-16,2027-01-23,7554,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-01-23,2027-01-30,7554,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-01-30,2027-02-06,7554,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-02-06,2027-02-13,14208,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-02-13,2027-02-20,18046,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-02-20,2027-02-27,17618,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-02-27,2027-03-06,14158,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-03-06,2027-03-13,11684,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-03-13,2027-03-20,6532,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-03-20,2027-03-27,6504,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-03-27,2027-04-03,6160,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-04-03,2027-04-10,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-04-10,2027-04-17,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,valmorel,VMOC_WINTER,2A2C,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-01-09,2027-01-16,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-01-16,2027-01-23,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-01-23,2027-01-30,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-01-30,2027-02-06,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-03-13,2027-03-20,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-03-20,2027-03-27,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-03-27,2027-04-03,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-04-03,2027-04-10,4298,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-04-10,2027-04-17,3954,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-01-09,2027-01-16,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-01-16,2027-01-23,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-01-23,2027-01-30,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-01-30,2027-02-06,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-03-13,2027-03-20,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-03-20,2027-03-27,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-03-27,2027-04-03,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-04-03,2027-04-10,6020,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-04-10,2027-04-17,5539,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A1C,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-01-09,2027-01-16,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-01-16,2027-01-23,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-01-23,2027-01-30,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-01-30,2027-02-06,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-03-13,2027-03-20,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-03-20,2027-03-27,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-03-27,2027-04-03,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-04-03,2027-04-10,7742,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-04-10,2027-04-17,7124,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,alpe-dhuez,ALHC_WINTER,2A2C,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-01-09,2027-01-16,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-01-16,2027-01-23,9716,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-01-23,2027-01-30,9206,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-01-30,2027-02-06,9206,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-03-13,2027-03-20,8966,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-03-20,2027-03-27,4704,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-03-27,2027-04-03,4540,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-04-03,2027-04-10,4350,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-04-10,2027-04-17,3844,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-01-09,2027-01-16,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-01-16,2027-01-23,12248,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-01-23,2027-01-30,12248,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-01-30,2027-02-06,11606,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-03-13,2027-03-20,11304,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-03-20,2027-03-27,6589,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-03-27,2027-04-03,6359,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-04-03,2027-04-10,6093,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-04-10,2027-04-17,5664,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A1C,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-01-09,2027-01-16,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-01-16,2027-01-23,14878,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-01-23,2027-01-30,14878,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-01-30,2027-02-06,14100,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-03-13,2027-03-20,13732,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-03-20,2027-03-27,8454,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-03-27,2027-04-03,8178,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-04-03,2027-04-10,7836,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-04-10,2027-04-17,7266,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-04-17,2027-04-24,,hold
2026-04-23T21:09:23Z,la-rosiere,LROC_WINTER,2A2C,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-01-02,2027-01-09,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-01-09,2027-01-16,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-01-16,2027-01-23,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-01-23,2027-01-30,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-01-30,2027-02-06,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-02-06,2027-02-13,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-02-13,2027-02-20,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-02-20,2027-02-27,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-02-27,2027-03-06,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-03-06,2027-03-13,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-03-13,2027-03-20,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-03-20,2027-03-27,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-03-27,2027-04-03,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-04-03,2027-04-10,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-04-10,2027-04-17,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-04-17,2027-04-24,3322,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A,2027-04-24,2027-05-01,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-01-02,2027-01-09,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-01-09,2027-01-16,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-01-16,2027-01-23,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-01-23,2027-01-30,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-01-30,2027-02-06,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-02-06,2027-02-13,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-02-13,2027-02-20,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-02-20,2027-02-27,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-02-27,2027-03-06,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-03-06,2027-03-13,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-03-13,2027-03-20,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-03-20,2027-03-27,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-03-27,2027-04-03,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-04-03,2027-04-10,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-04-10,2027-04-17,,hold
2026-04-23T21:09:23Z,la-plagne-2100,LP2C_WINTER,2A1C,2027-04-17,2027-04-24,,hold
